cosine_sim,levenshtein,jaccard,token_overlap,length_diff,brand_match,model_in_title,label
0.565130651,0.38636363636363635,0.07142857142857142,0.14285714285714285,0.27450980392156865,0,0,0
0.559397876,0.3076923076923077,0.07142857142857142,0.14285714285714285,0.3148148148148148,0,0,0
0.555733204,0.3168316831683168,0.07142857142857142,0.14285714285714285,0.421875,0,0,0
0.825681508,0.44680851063829785,0.125,0.2222222222222222,0.12,1,0,0
0.819587111,0.5098039215686274,0.1111111111111111,0.18181818181818182,0.038461538461538464,0,0,0
0.812337518,0.3789473684210526,0.058823529411764705,0.1111111111111111,0.1,0,0,0
0.81147635,0.5544554455445545,0.11764705882352941,0.2,0.0196078431372549,0,0,0
0.809888124,0.5,0.13333333333333333,0.25,0.16,0,0,0
0.73010838,0.3950617283950617,0.07142857142857142,0.2,0.4716981132075472,1,0,0
0.725862741,0.41975308641975306,0.07142857142857142,0.2,0.4716981132075472,1,0,0
0.719922543,0.4285714285714286,0.18181818181818182,0.25,0.39080459770114945,1,0,0
0.701475859,0.3008849557522124,0.05555555555555555,0.1111111111111111,0.11666666666666667,0,0,0
0.700658321,0.4576271186440678,0.11764705882352941,0.2222222222222222,0.18461538461538463,0,0,0
0.702740192,0.32558139534883723,0.07142857142857142,0.1111111111111111,0.3137254901960784,1,0,0
0.686911464,0.38636363636363635,0.06666666666666667,0.1,0.33962264150943394,1,0,0
0.684075952,0.3414634146341463,0.07692307692307693,0.125,0.2553191489361702,1,0,0
0.680690646,0.46153846153846156,0.2222222222222222,0.4,0.14285714285714285,1,1,1
0.668517709,0.4307692307692308,0.1,0.2,0.14285714285714285,1,0,0
0.762348533,0.3764705882352941,0.23076923076923078,0.375,0.2653061224489796,1,0,0
0.726005256,0.36036036036036034,0.15,0.2,0.52,1,0,0
0.726005256,0.36036036036036034,0.15,0.2,0.52,1,0,0
0.721790552,0.3571428571428571,0.15,0.2,0.5263157894736842,1,0,0
0.61559844,0.3448275862068966,0.13333333333333333,0.2222222222222222,0.29411764705882354,1,0,0
0.639744639,0.32432432432432434,0.0,0.0,0.391304347826087,0,0,0
0.627474666,0.28915662650602414,0.0,0.0,0.4909090909090909,0,0,0
0.627415657,0.28915662650602414,0.0,0.0,0.4909090909090909,0,0,0
0.627093375,0.28915662650602414,0.0,0.0,0.4909090909090909,0,0,0
0.625791907,0.23404255319148937,0.0,0.0,0.5757575757575758,0,0,0
0.774104238,0.5454545454545454,0.23076923076923078,0.5,0.04838709677419355,1,0,0
0.770208836,0.5309734513274336,0.13333333333333333,0.2857142857142857,0.1774193548387097,1,0,0
0.768588245,0.4516129032258065,0.05555555555555555,0.1111111111111111,0.0,1,0,0
0.768235922,0.49586776859504134,0.14285714285714285,0.3333333333333333,0.04838709677419355,1,0,0
0.767014444,0.4424778761061947,0.0625,0.14285714285714285,0.1774193548387097,1,0,0
0.558806896,0.25,0.0,0.0,0.24,0,0,0
0.558180928,0.2542372881355932,0.0,0.0,0.525,0,0,0
0.553555131,0.30000000000000004,0.0,0.0,0.3870967741935484,0,0,0
0.552644014,0.2857142857142857,0.0,0.0,0.02564102564102564,0,0,0
0.552643895,0.2857142857142857,0.0,0.0,0.02564102564102564,0,0,0
0.784888387,0.5185185185185186,0.3076923076923077,0.5714285714285714,0.10526315789473684,1,0,0
0.759555697,0.46153846153846156,0.23076923076923078,0.5,0.17543859649122806,1,0,0
